Incident Description,Risk Level
"Bandits fired at a vehicle and abducted two people (a woman and her one-week-old child) while they were heading to Dodon-Daji village from Jere market in Kagarko LGA, Kaduna State.",high
"Bandits attacked farmers on the outskirts of Kuriga village, Chikun LGA, Kaduna State. GSF personnel were deployed to the area and engaged the bandits in a firefight. Two bandits were killed, and two AK-47 rifles and 17 rounds of ammunition were recovered.",high
"Gunmen attempted to abduct one person in Umuchiana, Ekwulobia community, Aguata LGA, Anambra State. Policemen were deployed to the location and rescued the victim.",high
"Residents of Mburubu community held a protest in Mburubu, Nkanu East LGA, Enugu State, over a leadership dispute. The protesters accused the present Commissioner of abusing his position.",high
"Residents of Ezza community attacked Ikachi village in the Akparata area of Effium, Ohaukwu LGA, Ebonyi State, following ongoing inter-communal violence between the two communities. Two people were beheaded, seven others including women were abducted, and five houses were set on fire.",high
"At least 100 women held a protest at Mmahu Street, Ohaji/Egbema LGA, Imo State, over alleged police brutality in their communities.",high
"Unidentified armed men shot and killed a union secretary and lawyer in Umudioka-Umuohi Okija, Ihiala LGA, Anambra State.",high
"Gunmen shot and killed the Director of Public Prosecution, Anambra State, who is also the Vice Chairman of the NBA, Ihiala Branch at Eke Umudioka in Dunukofia LGA, Anambra State.",high
"There was a protest in Umu Ezeala community, Ehime Mbano LGA, Imo State, over the State Government’s decision to close the state polytechnic in the community. They pleaded with the government to rescind the decision.",high
"Troops of Operation “UDO KA” and personnel of the naval base engaged IPOB/ESN members in a firefight at Amagberedere village in Oguta LGA, Imo State. One IPOB/ESN member was killed.",high
"Gunmen attempted to abduct a man at Umuaka, along the Orlu-Owerri Road in Njaba LGA, Imo State. Troops of Operation “UDO KA” on patrol were deployed to the area and engaged the gunmen in a firefight. One of the gunmen was killed, and two others were injured, one AK47 rifle with two loaded magazines, and a motorcycle were recovered.",high
"There was a violent clash between the “Vikings” and the “Aye” cult gangs in the vicinity of Abia State Polytechnic, Aba, Aba North LGA, Abia State.",high
"Gunmen reportedly shot and killed three soldiers along the Factory Road in Aba South LGA, Abia State. No further details.",high
"Unidentified gunmen attacked members of Omgbotuche Ayi Yala Worldwide (AYWI) during a meeting at Harry D Hub along the Ndidem Usang Iso Road in Calabar town, Calabar Municipal LGA, Cross River State. Three people including a University of Calabar lecturer were reportedly abducted. One person was later released.",high
"Cult gang members reportedly shot and killed one person in Isihor, Ovia North East LGA, Edo State.",high
"Increased tensions were reported in Iwuru Obio Ntan community, Biase LGA, Cross River State, following an attack on “Aye” cult gang members by youths and community members. This is over the killing of an “Aye” member by his gang members on 19May24. An unspecified number of houses were set on fire. GSF personnel were deployed to the location, and suspected gang members were arrested.",high
"Gang members fired indiscriminately along the St Saviour–Upper Sakponba Road by Third Junction, Orhionmwon LGA, Edo State. No further details.",high
"Members of the Traders’ Welfare Union of Nigeria and members of the Ekiosa Market Traders Association held protests at the Edo State House of Assembly complex and the secretariat of the State Council of the Nigeria Union of Journalists (NUJ) in Oredo LGA, Edo State, over the rising prices of food supplies in the state.",high
"Members of the Delta Police Command's Buffalo Squad ambushed a vehicle during a routine patrol along Ibusa Road, Oshimili North LGA, Delta State. Six “Aye” cult gang members were arrested, and a locally made cut-to-size gun and two live cartridges were recovered.",high
"Members of the “Aye” cult gang reportedly beat one of their members to death for stealing a phone belonging to a the “Vikings” gang member in Iwuru Obio Ntan village, Biase LGA, Cross River State.",high
"Women held a protest in Okoloba community, Bomadi LGA, Delta State, over the return of armed youths of Okuama community in Ughelli South LGA to their community.",high
"Gunmen abducted the Paramount Ruler of Mbo from his palace in Ebughu, Mbo LGA, Akwa Ibom State.",high
"There was a violent clash between the “Maphite” and the “Aye” cult gangs along the Sapele Road, Benin City, Oredo LGA, Edo State. One person was killed.",high
"Increased tensions were reported in Urua Ekpa and Itam Junction, Itu LGA, Akwa Ibom State, following a violent clash between the “KK” and the “Vikings” cult gangs. One person was injured.",high
"There was a violent clash between the “KK” and the “Aye” cult gangs in the vicinity of Akwa Ibom State University (AKSU) in Ikot Akpaden, Mkpat Enin LGA, Akwa Ibom State. The clash started on 16May24. No further details",high
"There was a violent clash between members of the “Buccaneers” and the “Eiye” cult gangs at the Crown Polytechnic, Odo, Ado-Ekiti LGA, Ekiti State. An unspecified number of people were injured.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs along the Iwo Road in Ibadan, Ibadan North East LGA, Oyo State. No further details.",high
"There was a violent clash between “Aye” and “Eiye” cult gangs in Ijoko Ota, Ado-Odo/Ota LGA, Ogun State. One gang member was killed.",high
"There was a violent clash between two rival cult gangs at the Olusegun Agagau University of Science and Technology (OSUSTECH) Okitipupa town, Okitipupa LGA, Ondo State. An unspecified number of people were abducted.",high
"A vigilante shot and killed one person following an altercation in Ajebo, Obafemi Owode LGA, Ogun State.",high
"Increased tensions were reported in Ijora Badia, Apapa-Iganmu LGA, Lagos State, following a violent clash between the “Eiye” and the “Aye” cult gangs, which started on 20May24. One person was beheaded in the vicinity of Lawal Close in Ijora Badia",high
"At least 500 former members of staff of Dana Air held a protest at the state headquarters of the aviation company in Oshodi, Oshodi/Isolo LGA, Lagos State, over their unlawful dismissal as well as the refusal of the airline to pay their contributory pension, April salaries, and other entitlements.",high
"Gunmen attacked a vehicle transporting Oyo State Health workers of the World Health Organization (WHO) along the Okeho-Iseyin Road in Iwajowa LGA, Oyo State. At least three people including the Local Immunization Officer (LIO), Disease Surveillance and Notification Officer (DSNO), and a Health Educator were abducted.",high
"Gunmen attacked Olorunda village via Atan, along the Idiroko Expressway in Ado-Odo/Ota LGA, Ogun State. One person was killed, and an unspecified number of people were injured. Policemen arrested 10 gunmen and recovered two guns and ammunition.",high
"There was a violent clash between the “Aye” and the “Vikings” cult gangs at the Ikota Housing Estate area in Ajah, Eti-Osa LGA, Lagos State. One gang member was killed.",high
"There was a violent clash between the “Aye” and the “Vikings” cult gangs at Ijora, Apapa LGA, Lagos State. One person was killed.",high
"There was a violent clash between rival cult gangs at PPL, along the LASU-Badagry Road, Ojo LGA, Lagos State. One person was killed, and another was injured.",high
"There was a violent clash between the “Eiye” and the “Aye” cult gangs in Orile Iganmu, Surulere LGA, Lagos State. An unspecified number of people were reportedly killed.",high
"Armed men suspected to be Obbo Ayegunle youths in Ekiti LGA, Kwara State, attacked Eda Oniyo community in Ilejemeje LGA, Ekiti State, over land ownership dispute. One person was killed. GSF personnel and Amotekun operatives were deployed to the area to restore order.",high
"Suspected youths from Obbo Ayegunle killed a man in Eda Oniyo Ekiti, Ilejemeje LGA, Ekiti State, over a boundary dispute between Eda Oniyo in Ekiti and Obbo Aiyegunle in Kwara State",high
"A mob set fire to a vehicle with three occupants in Ode Omu, Aiyedade LGA, Osun State, following an accident involving the vehicle resulting in the death of five people. One of the occupants escaped, and policemen rescued the other two occupants.",high
"There was a violent clash between the “Aye” and the “Eiye” cult gangs in Ijoko Ota, Ado-Odo/Ota LGA, Ogun State. One person was killed.",high
"There was a violent clash between the “Aye” and the “Eiye” cult gangs near Power Line area in Kande, Ayobo, Alimosho LGA, Lagos State.",high
"Armed men abducted a woman in the Erewon area of Ijebu Ode LGA, Ogun State.",high
"There were violent clashes between the “Aye” and the “Eiye” cult gangs at different locations including Itunmeko in Ikorodu LGA, Lagos State. At least one gang member was killed, and three others sustained gunshot wounds.",high
"“Aye” cult gang members reportedly beheaded an “Eiye” cult gang member in Epe LGA, Lagos State.",high
"There was a violent clash between the “Aye” and the “Eiye” cult gangs at the DS Adegbenro ICT Polytechnic in Itori, Ewekoro LGA, Ogun State. At least one person was killed.",high
"At least 10 armed robbers reportedly attacked a compound with four apartments including the apartment of an INGO employee at Gwarimpa, Life Camp Junction along Karimu, AMAC, Abuja. The INGO employee was injured, one of his neighbours was assaulted, valuables, money, and an ATM card were stolen.",high
